pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,sy_dist
"KMT-2024-BLG-1209L b","KMT-2024-BLG-1209L",2025,"Microlensing",,,839.06699448,,,3930.00000000
"TOI-201 c","TOI-201",2025,"Transit Timing Variations",2890.00000000000,10.40000000,4990.00000000,6423.00,1.310000,113.82500000
"TOI-1011 b","TOI-1011",2025,"Transit",2.47049800000,1.45000000,4.04000000,5475.00,0.920000,52.62000000
"TOI-5795 b","TOI-5795",2025,"Transit",6.14063250000,5.62000000,23.66000000,5715.00,1.082000,156.53000000
"OGLE-2015-BLG-1609L b","OGLE-2015-BLG-1609L",2025,"Microlensing",,,76.27881768,,,3300.00000000
"BEBOP-3 b","BEBOP-3",2025,"Radial Velocity",547.00000000000,,177.34825111,6033.00,1.414000,119.05200000
"Ross 176 b","Ross 176",2025,"Transit",5.00663380000,1.84000000,4.57000000,4041.00,0.569000,46.44880000
"TOI-7149 b","TOI-7149",2025,"Transit",2.65206166000,13.20000000,224.00000000,3363.00,0.351000,126.12600000
"TOI-5817 b","TOI-5817",2025,"Transit",15.61031000000,3.08000000,10.30000000,5770.00,1.427000,80.75420000
"TOI-1346 c","TOI-1346",2025,"Transit",5.50255800000,2.23000000,,5099.00,0.780000,115.45000000
"TOI-1346 b","TOI-1346",2025,"Transit",1.76225380000,2.39000000,,5099.00,0.780000,115.45000000
"TOI-2719 b","TOI-2719",2025,"Transit",3.37594000000,5.98000000,,5762.00,1.690000,588.36800000
"TOI-4155 b","TOI-4155",2025,"Transit",3.32072900000,3.21000000,,5724.00,0.950000,240.73700000
"TOI-6000 b","TOI-6000",2025,"Transit",0.44895900000,0.94000000,,3419.00,0.380000,75.76640000
"GJ 9773 b","GJ 9773",2025,"Radial Velocity",2965.00000000000,,172.58082500,3528.00,0.362000,15.92110000
"GJ 508.2 b","GJ 508.2",2025,"Radial Velocity",5300.00000000000,,587.98255295,3720.00,0.530000,16.63740000
"TOI-880 c","TOI-880",2025,"Transit",6.38727030000,4.95000000,,5050.00,0.830000,60.66790000
"MOA-2022-BLG-033L b","MOA-2022-BLG-033L",2025,"Microlensing",,,12.15000000,,,1840.00000000
"KMT-2023-BLG-0119L b","KMT-2023-BLG-0119L",2025,"Microlensing",,,83.70000000,,,5410.00000000
"KMT-2023-BLG-1896L b","KMT-2023-BLG-1896L",2025,"Microlensing",,,16.35000000,,,5490.00000000
"TOI-1438 b","TOI-1438",2025,"Transit",5.13967000000,3.04000000,9.40000000,5230.00,0.820000,110.51300000
"TOI-1438 c","TOI-1438",2025,"Transit",9.42808900000,2.75000000,10.60000000,5230.00,0.820000,110.51300000
"HD 224018 b","HD 224018",2025,"Radial Velocity",10.64130000000,0.91000000,4.10000000,5784.00,1.147000,105.48000000
"HD 224018 c","HD 224018",2025,"Transit",36.57669000000,2.42000000,10.40000000,5784.00,1.147000,105.48000000
"HD 224018 d","HD 224018",2025,"Transit",138.07310000000,2.40000000,4.20000000,5784.00,1.147000,105.48000000
"K2-73 c","K2-73",2025,"Radial Velocity",1000.00000000000,,1142.00000000,5867.00,1.058000,269.18300000
"HIP 41378 g","HIP 41378",2025,"Radial Velocity",64.06700000000,,6.81000000,6371.00,1.306000,106.28900000
"TOI-2322 b","TOI-2322",2025,"Transit",11.30717000000,0.99400000,2.31000000,4664.00,0.662000,59.86100000
"TOI-2322 c","TOI-2322",2025,"Transit",20.22552800000,1.87400000,18.10000000,4664.00,0.662000,59.86100000
"TOI-6303 b","TOI-6303",2025,"Transit",9.48523600000,11.59000000,2493.00000000,3977.00,0.609000,152.21900000
"TOI-6330 b","TOI-6330",2025,"Transit",6.85002460000,10.89000000,3179.00000000,3539.00,0.490000,139.04200000
"HD 28471 b","HD 28471",2025,"Radial Velocity",3.16490000000,,3.72000000,5766.00,1.080000,43.64550000
"HD 28471 c","HD 28471",2025,"Radial Velocity",6.12450000000,,5.72000000,5766.00,1.080000,43.64550000
"HD 28471 d","HD 28471",2025,"Radial Velocity",11.68100000000,,4.91000000,5766.00,1.080000,43.64550000
"WISPIT 1 b","WISPIT 1",2025,"Imaging",,,3305.41543280,4670.00,,230.00700000
"WISPIT 1 c","WISPIT 1",2025,"Imaging",,,1684.49055710,4670.00,,230.00700000
"WISPIT 2 b","WISPIT 2",2025,"Imaging",,,1541.46777395,4400.00,1.418000,134.90700000
"GJ 536 c","GJ 536",2025,"Radial Velocity",32.76100000000,,5.89000000,3641.00,0.529000,10.40920000
"TOI-4773 b","TOI-4773",2025,"Transit",1.74528510000,15.22179579,1687.66884117,6740.00,1.550000,492.88800000
"TOI-5261 b","TOI-5261",2025,"Transit",4.15097680000,11.60129502,3651.84839643,5790.00,1.021000,377.05400000
"TOI-5350 b","TOI-5350",2025,"Transit",7.58136700000,12.41955062,2094.48920213,6220.00,1.263000,277.41900000
"TOI-6420 b","TOI-6420",2025,"Transit",6.96150800000,11.93756445,2606.19293740,6020.00,1.312000,634.71200000
"AU Mic e","AU Mic",2025,"Radial Velocity",33.11000000000,,21.10000000,3665.00,0.820000,9.72210000
"TOI-1743 b","TOI-1743",2025,"Transit",4.26604600000,1.83000000,,3277.00,0.338000,41.27580000
"TOI-5799 c","TOI-5799",2025,"Transit",14.01044900000,1.76000000,,3452.00,0.321000,27.81230000
"TOI-6223 b","TOI-6223",2025,"Transit",3.85521900000,5.07000000,,3895.00,0.576000,133.12200000
"TOI-2141 c","TOI-2141",2025,"Radial Velocity",5.46240000000,,6.14000000,5635.00,0.950000,77.68200000
"TOI-2141 d","TOI-2141",2025,"Radial Velocity",60.45000000000,,14.90000000,5635.00,0.950000,77.68200000
"KMT-2024-BLG-0404L b","KMT-2024-BLG-0404L",2025,"Microlensing",,,8657.64580668,,,7210.00000000
"KMT-2024-BLG-0404L c","KMT-2024-BLG-0404L",2025,"Microlensing",,,17.30000000,,,7210.00000000
"TOI-1203 b","TOI-1203",2025,"Radial Velocity",4.15728880000,1.52000000,3.51000000,5737.00,1.179000,64.99430000
"TOI-1203 c","TOI-1203",2025,"Radial Velocity",13.07660000000,,5.46000000,5737.00,1.179000,64.99430000
"TOI-1203 e","TOI-1203",2025,"Radial Velocity",204.59000000000,,42.10000000,5737.00,1.179000,64.99430000
"TOI-6109 b","TOI-6109",2025,"Transit",5.69047600000,4.87040000,,5660.00,1.021000,151.73800000
"TOI-6109 c","TOI-6109",2025,"Transit",8.53887800000,4.83260000,,5660.00,1.021000,151.73800000
"TOI-2449 b","TOI-2449",2025,"Transit",106.14468000000,11.24000000,222.00000000,6021.00,1.065000,156.78600000
"NGTS-31 b","NGTS-31",2025,"Transit",4.16273400000,18.04645893,355.96781584,5710.00,1.700000,497.37600000
"NGTS-32 b","NGTS-32",2025,"Transit",3.31211000000,15.91675259,181.16219199,5680.00,1.850000,837.45700000
"HD 143811 AB b","HD 143811 A",2025,"Imaging",117000.00000000000,15.69257298,1938.75328270,6791.00,,136.60800000
"TOI-756 b","TOI-756",2025,"Transit",1.23924950000,2.81000000,9.83000000,3657.00,0.505000,86.17590000
"TOI-756 c","TOI-756",2025,"Radial Velocity",149.40000000000,,1287.20504835,3657.00,0.505000,86.17590000
"TOI-283 b","TOI-283",2025,"Transit",17.61745000000,2.34000000,6.54000000,5213.00,0.850000,82.70130000
"HD 23079 c","HD 23079",2025,"Radial Velocity",5.74891300000,,8.26000000,5994.00,1.080000,33.45910000
"HD 196067 c","HD 196067",2025,"Radial Velocity",4.60108800000,,10.40000000,6072.00,1.710000,39.93460000
"TOI-2093 b","TOI-2093",2025,"Radial Velocity",12.83600000000,,10.60000000,4426.00,0.729000,82.79820000
"TOI-2093 c","TOI-2093",2025,"Transit",53.81149000000,2.30000000,15.80000000,4426.00,0.729000,82.79820000
"HIP 18606 b","HIP 18606",2025,"Radial Velocity",674.94000000000,,244.72787339,4860.00,4.830000,47.02880000
"HIP 111909 b","HIP 111909",2025,"Radial Velocity",487.08000000000,,384.57237247,4891.00,4.530000,88.07700000
"HIP 111909 c","HIP 111909",2025,"Radial Velocity",893.63000000000,,257.44100967,4891.00,4.530000,88.07700000
"TOI-2345 b","TOI-2345",2025,"Transit",1.05285730000,1.50400000,3.49000000,4687.00,0.729000,81.65410000
"TOI-2345 c","TOI-2345",2025,"Transit",21.06430200000,2.45100000,7.27000000,4687.00,0.729000,81.65410000
"55 Cnc B b","55 Cnc B",2025,"Radial Velocity",6.79940000000,,3.50000000,3286.00,0.274000,12.47730000
"55 Cnc B c","55 Cnc B",2025,"Radial Velocity",33.74700000000,,5.30000000,3286.00,0.274000,12.47730000
"GJ 251 c","GJ 251",2025,"Radial Velocity",53.64700000000,,3.88000000,3342.00,0.360000,5.58057000
"KMT-2023-BLG-0548L b","KMT-2023-BLG-0548L",2025,"Microlensing",,,1086.97315194,,,6830.00000000
"KMT-2023-BLG-0830L b","KMT-2023-BLG-0830L",2025,"Microlensing",,,17.79839079,,,7250.00000000
"KMT-2023-BLG-0949L b","KMT-2023-BLG-0949L",2025,"Microlensing",,,1900.61387386,,,6060.00000000
"KMT-2024-BLG-1281L b","KMT-2024-BLG-1281L",2025,"Microlensing",,,19.06970442,,,7180.00000000
"KMT-2024-BLG-2059L b","KMT-2024-BLG-2059L",2025,"Microlensing",,,6.99222495,,,6070.00000000
"KMT-2024-BLG-2242L b","KMT-2024-BLG-2242L",2025,"Microlensing",,,13.98444991,,,7620.00000000
"BEBOP-4 AB b","BEBOP-4 A",2025,"Radial Velocity",1823.50000000000,,8358.88710410,,,234.29400000
"TOI-1422 c","TOI-1422",2025,"Radial Velocity",34.56330000000,2.61000000,14.00000000,,,155.14100000
"TOI-6448 b","TOI-6448",2025,"Transit",14.84426100000,8.47398941,,5910.00,0.897000,386.87900000
"TOI-521 b","TOI-521",2025,"Transit",1.54285047000,1.98000000,5.30000000,3544.00,0.421000,60.94250000
"TOI-912 b","TOI-912",2025,"Transit",4.67806910000,1.93000000,5.10000000,3572.00,0.419000,26.10720000
"TOI-7510 b","TOI-7510",2025,"Transit",11.53086900000,7.31000000,18.10000000,5720.00,1.035000,249.00600000
"TOI-7510 c","TOI-7510",2025,"Transit",22.56874230000,10.81000000,131.00000000,5720.00,1.035000,249.00600000
"TOI-7510 d","TOI-7510",2025,"Transit",48.86446800000,10.52000000,190.00000000,5720.00,1.035000,249.00600000
"TOI-333 b","TOI-333",2025,"Transit",3.78525030000,4.26000000,20.10000000,6241.00,1.100000,352.26900000
"TOI-1472 c","TOI-1472",2025,"Radial Velocity",15.53817470000,3.33400000,21.13000000,5100.00,0.840000,121.84000000
"TOI-1648 b","TOI-1648",2025,"Transit",7.33160200000,2.54000000,7.40000000,4850.00,0.810000,69.83500000
"HIP 54515 b","HIP 54515",2026,"Imaging",33000.00000000000,,5625.56280390,8100.00,,82.81010000
"TOI-6041 b","TOI-6041",2025,"Transit",26.04945000000,4.55000000,28.90000000,5445.00,0.879000,72.47310000
"TOI-6041 c","TOI-6041",2025,"Radial Velocity",88.00000000000,,77.90000000,5445.00,0.879000,72.47310000
"V2376 Ori b","V2376 Ori",2025,"Imaging",,87.20586985,6356.56814000,,,
"HD 128717 b","HD 128717",2025,"Astrometry",3420.00000000000,,6293.00245860,6210.00,1.248000,73.63600000
"TOI-5489 b","TOI-5489",2025,"Transit",3.15222000000,1.40000000,,3547.00,0.420000,45.09070000
"TOI-5489 c","TOI-5489",2025,"Transit",4.92126000000,1.28000000,,3547.00,0.420000,45.09070000
"TOI-5716 b","TOI-5716",2025,"Transit",6.76630000000,0.96000000,,3436.00,0.220000,39.41220000
